distributed_link,persona,current_time,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8
https://www.tiktok.com/@kbootyjenny/video/7322216236874616071,Sports,2024-04-18 08:00:02.751082,https://www.tiktok.com/@enwyadi/video/7358854448451554565,https://www.tiktok.com/@adeeeeeval/video/7358866822734744838,https://www.tiktok.com/@xphenelope/video/7358707001855069445,https://www.tiktok.com/@kbootyjenny/video/7338571268360326402,https://www.tiktok.com/@nonbeatsz/video/7359093156618439937,https://www.tiktok.com/@amouriori/video/7358902000819440902,https://www.tiktok.com/@frustratingallday/video/7358662739490770182,https://www.tiktok.com/@keomilols/video/7358608759133949189
https://www.tiktok.com/@the_inconvenient_truth88/video/7357026311220612394,Sports,2024-04-18 09:00:18.442662,https://www.tiktok.com/@notgracefuger/video/7330773401302289707,https://www.tiktok.com/@kxks.official/video/7337874524425243922,https://www.tiktok.com/@girlonset/video/7350200254295493934,https://www.tiktok.com/@ibra_11z_/video/7348440834787904773,https://www.tiktok.com/@truongvu.32/video/7338011566953991432,https://www.tiktok.com/@ligue1ubereats/video/7352209127638191365,https://www.tiktok.com/@chachofreestyle/video/7336659237545774344,https://www.tiktok.com/@sportstiktokunfiltered/video/7341870291703844138
https://www.tiktok.com/@meganmota/video/7356393174585052458,Sports,2024-04-18 10:00:12.842563,https://www.tiktok.com/@tayyabawan751/video/7359072973631868178,https://www.tiktok.com/@user6771671527728/video/7358876683904077072,https://www.tiktok.com/@j.jh11/video/7358694548777782533,https://www.tiktok.com/@user2797547790205/video/7357874998775745799,https://www.tiktok.com/@thabii274/video/7358824508700118278,https://www.tiktok.com/@tayyabawan751/video/7329136226424917253,https://www.tiktok.com/@tayyabawan751/video/7359143757767347464,https://www.tiktok.com/@tayyabawan751/video/7358821752132078866
https://www.tiktok.com/@leah.givestipss/video/7238391829421395243?q=workout&t=1713313864755,Sports,2024-04-18 11:00:01.940549,https://www.tiktok.com/@iamnzae/video/7359169204827868421?q=workout&t=1713313864755,https://www.tiktok.com/@nonbeatsz/video/7358974423589866768?q=workout&t=1713313864755,https://www.tiktok.com/@icafabria/video/7358737666977844486?q=workout&t=1713313864755,https://www.tiktok.com/@rina_.ho_o/video/7358688545340427525?q=workout&t=1713313864755,https://www.tiktok.com/@iisxgarspeedruns/video/7359132906893085959?q=workout&t=1713313864755,https://www.tiktok.com/@kanzakianna36/video/7359191038524787985?q=workout&t=1713313864755,https://www.tiktok.com/@nonbeatsz/video/7358106430517300497?q=workout&t=1713313864755,https://www.tiktok.com/@nonbeatsz/video/7355848037542989072?q=workout&t=1713313864755
https://www.tiktok.com/@naraazizasmith/video/7349646353267576107,Sports,2024-04-18 12:00:01.384885,https://www.tiktok.com/@naraazizasmith/video/7339640325251599658,https://www.tiktok.com/@naraazizasmith/video/7328878750915988778,https://www.tiktok.com/@naraazizasmith/video/7326290660938566955,https://www.tiktok.com/@naraazizasmith/video/7333700632559422766,https://www.tiktok.com/@naraazizasmith/video/7330368924325776683,https://www.tiktok.com/@naraazizasmith/video/7332586913670483243,https://www.tiktok.com/@naraazizasmith/video/7341491893550763307,https://www.tiktok.com/@naraazizasmith/video/7331853860593503531
https://www.tiktok.com/@fanniemiller1965/video/7349715155153931551,Sports,2024-04-18 13:00:19.099704
https://www.tiktok.com/@ayesebastien/video/7343001838003768618,Sports,2024-04-18 14:00:18.111658,https://www.tiktok.com/@d4rksinnn/video/7359014810807258374,https://www.tiktok.com/@ayesebastien/video/7345975888074247466,https://www.tiktok.com/@ayesebastien/video/7352281392086142250,https://www.tiktok.com/@ayesebastien/video/7335256757398244650,https://www.tiktok.com/@ayesebastien/video/7347469156918480174,https://www.tiktok.com/@annaibruv/video/7358763419803127048,https://www.tiktok.com/@omgcupcakez/video/7358796902244125957,https://www.tiktok.com/@ayesebastien/video/7341162864520154414
https://www.tiktok.com/@taylerfit/video/7287664074081586438?q=workout&t=1713313864755,Sports,2024-04-18 15:00:05.541970,https://www.tiktok.com/@taylerfit/video/7328547883421043974?q=workout&t=1713313864755,https://www.tiktok.com/@taylerfit/video/7331877431885794566?q=workout&t=1713313864755,https://www.tiktok.com/@taylerfit/video/7331544498469686533?q=workout&t=1713313864755,https://www.tiktok.com/@taylerfit/video/7342644740107635973?q=workout&t=1713313864755,https://www.tiktok.com/@elin_wonyoungsim/video/7358826415497727240?q=workout&t=1713313864755,https://www.tiktok.com/@taylerfit/video/7340799998675799301?q=workout&t=1713313864755,https://www.tiktok.com/@taylerfit/video/7335679190827601158?q=workout&t=1713313864755,https://www.tiktok.com/@wormarij/video/7359252922196036882?q=workout&t=1713313864755
https://www.tiktok.com/@marissa.lubeck/video/7343439600372829483,Sports,2024-04-18 16:00:09.485707,https://www.tiktok.com/@jordan_stephens25/video/7327332608864423210,https://www.tiktok.com/@rocktownmedia/video/7331058431421369643,https://www.tiktok.com/@emwood.21/video/7343814094996262187,https://www.tiktok.com/@preppylifestyleld/video/7337498251974675754,https://www.tiktok.com/@laneige_kr/video/7339724178603379975,https://www.tiktok.com/@..jesella/video/7336884479635557638,https://www.tiktok.com/@miaaaaa12130/video/7342395329884556590,https://www.tiktok.com/@millymill23/video/7346995265884278059
https://www.tiktok.com/@nickshirleyy/video/7345604222190390574,Sports,2024-04-18 17:00:11.322238,https://www.tiktok.com/@liltazvert/video/7332625795476737323,https://www.tiktok.com/@nickshirleyy/video/7329988492660919594,https://www.tiktok.com/@nickshirleyy/video/7327105476699671851,https://www.tiktok.com/@chickenhappyhour/video/7356015606426045738,https://www.tiktok.com/@ranjhajee3/video/7359095034446269701,https://www.tiktok.com/@nickshirleyy/video/7344058831028194602,https://www.tiktok.com/@nickshirleyy/video/7340010871835479339,https://www.tiktok.com/@nickshirleyy/video/7342608184361717034
https://www.tiktok.com/@sophiesophss/video/7356733416546602282,Sports,2024-04-18 18:00:04.097021,https://www.tiktok.com/@sophiesophss/video/7337468499444387114,https://www.tiktok.com/@manueldubois8/video/7359225020553366789,https://www.tiktok.com/@moremoneynofriends/video/7338992539116047662,https://www.tiktok.com/@lilytrii/video/7343435754686713131,https://www.tiktok.com/@roostarzhotchicken/video/7330783401579957550,https://www.tiktok.com/@kimssspamm/video/7328440303319551278,https://www.tiktok.com/@skyenoigg/video/7354473635219852590,https://www.tiktok.com/@jaaliyahs/video/7329321887480155398
https://www.tiktok.com/@thefitmamalife/video/7328925121014500650?q=workout&t=1713313864755,Sports,2024-04-18 19:00:20.333258,https://www.tiktok.com/@nfl/video/7333425149703736619?q=workout&t=1713313864755,https://www.tiktok.com/@aqwft/video/7359278828260297989?q=workout&t=1713313864755,https://www.tiktok.com/@whatgoinn/video/7359165021043100946?q=workout&t=1713313864755,https://www.tiktok.com/@gamingaddictfc24/video/7359255574984412421?q=workout&t=1713313864755,https://www.tiktok.com/@hellooo.aya/video/7359026320099020037?q=workout&t=1713313864755,https://www.tiktok.com/@killer.king134/video/7358836803803155728?q=workout&t=1713313864755,https://www.tiktok.com/@kl4yzein9/video/7358987450099748101?q=workout&t=1713313864755,https://www.tiktok.com/@albertram0/video/7359198735819197702?q=workout&t=1713313864755
https://www.tiktok.com/@kaivaugha/video/7322185040853617921,Sports,2024-04-18 20:00:17.000329,https://www.tiktok.com/@vinns.roblox/video/7359129230304693510,https://www.tiktok.com/@h7zenx/video/7359266488475241745,https://www.tiktok.com/@alexramostraining/video/7328764940561567006,https://www.tiktok.com/@sundayssheart/video/7359317617825303813,https://www.tiktok.com/@mm2.sea/video/7358792046104087816,https://www.tiktok.com/@nikcski/video/7359004606036315398,https://www.tiktok.com/@yorkiebun/video/7358916890472893701,https://www.tiktok.com/@goktubenn/video/7359211036915928325
