,distributed_link_id,persona_category,distributed_link_category,distributed_link_author,rec_category,rec_author,isTopCount_persona,prop_persona,isMajorityCount_persona,isFirst3Position_persona,isFirstPosition_persona,propSameAuthor,isTopCount_dst,prop_dst,isMajorityCount_dst,isFirst3Position_dst,isFirstPosition_dst
304,7349664900228091167,beauty,beauty,edwardzo,"['beauty', 'beauty', 'other', 'other', 'other', 'other', 'beauty', 'other']","['edwardzo', 'edwardzo', 'official_nct', 'official_nct', 'lildroptop2.0', 'austinfelt', 'catherine.desserts', 'official_nct']",False,0.375,False,True,True,0.25,False,0.375,False,True,True
305,7349664900228091167,control,beauty,edwardzo,"['beauty', 'beauty', 'other', 'beauty', 'beauty', 'beauty', 'other', 'other']","['edwardzo', 'edwardzo', 'stussytai', 'skybxyy', 'evdeshort', 'doctor.z0idberg', 'lrcs.heart', 'starry_night325']",False,0.0,False,False,False,0.25,True,0.625,True,True,True
306,7349664900228091167,society,beauty,edwardzo,"['beauty', 'beauty', 'other', 'society', 'other', 'other', 'other', 'other']","['edwardzo', 'edwardzo', 'salisu.lg', 'abcnews', 'volleyball__worlddd', 'userdija7676', 'user8828310721817', 'yourr.audio..gurl']",False,0.125,False,False,False,0.25,False,0.25,False,True,True
307,7349664900228091167,sports,beauty,edwardzo,"['other', 'beauty', 'other', 'beauty', 'other', 'other', 'beauty', 'other']","['aurorakaon_', 'edwardzo', 'royalty.fandom_', 'edwardzo', 'david.santiago.223', 'yarisiro0', 'luna29092016', '_.mariaajoosee._']",False,0.0,False,False,False,0.25,False,0.375,False,True,False
308,7349715155153931551,beauty,society,fanniemiller1965,"[None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None]",False,0.0,False,False,False,0.0,False,0.0,False,False,False
309,7349715155153931551,control,society,fanniemiller1965,"[None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None]",False,0.0,False,False,False,0.0,False,0.0,False,False,False
310,7349715155153931551,society,society,fanniemiller1965,"[None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None]",False,0.0,False,False,False,0.0,False,0.0,False,False,False
311,7349715155153931551,sports,society,fanniemiller1965,"[None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None]",False,0.0,False,False,False,0.0,False,0.0,False,False,False
312,7349770550111423790,beauty,beauty,minibakerychannel,"['other', 'other', 'other', 'other', 'other', 'other', 'beauty', 'other']","['crazycae', 'pmdamiann', 'pmdamiann', 'kashtonparker', 'gabyluvsyousm', 'onlyfamousbrian', 'olybre', 'pmdamiann']",False,0.125,False,False,False,0.0,False,0.125,False,False,False
313,7349770550111423790,control,beauty,minibakerychannel,"['other', 'beauty', 'other', 'beauty', 'beauty', 'beauty', 'beauty', 'beauty']","['crazycae', 'olybre', 'floptropicagang', 'minibakerychannel', 'minibakerychannel', 'minibakerychannel', 'minibakerychannel', 'minibakerychannel']",False,0.0,False,False,False,0.625,True,0.75,True,True,False
