distributed_link,persona,current_time,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8
https://www.tiktok.com/@thatfoodielyss/video/7323797404011089198,control,2024-04-18 02:00:00,https://www.tiktok.com/@ployppatra/video/7358126218538994960,https://www.tiktok.com/@j.billiard3/video/7344189772526669057,https://www.tiktok.com/@j.billiard3/video/7352416715755523344,https://www.tiktok.com/@milo.504.23/video/7353335087573781766,https://www.tiktok.com/@boxingalleymike/video/7338185643043933458,https://www.tiktok.com/@islandgal_5homedecor/video/7348523617287818538,https://www.tiktok.com/@j.billiard3/video/7336816044255808769,https://www.tiktok.com/@thatfoodielyss/video/7348940004753755435
https://www.tiktok.com/@shereeneidriss/video/7343021997191941418,Society,2024-04-18 02:00:10.588446,https://www.tiktok.com/@doctormyro/video/7329179184645836078,https://www.tiktok.com/@pcos.weight.loss/video/7350743855639121195,https://www.tiktok.com/@shereeneidriss/video/7340845866124594475,https://www.tiktok.com/@shereeneidriss/video/7338889979269106986,https://www.tiktok.com/@samiasauce/video/7344031296068291883,https://www.tiktok.com/@thefeelgoodexpert/video/7332723684349758766,https://www.tiktok.com/@shereeneidriss/video/7352713457587834154,https://www.tiktok.com/@shereeneidriss/video/7341919738827722026
https://www.tiktok.com/@meme._.galaxy/video/7334316740840574240,control,2024-04-18 03:00:00,https://www.tiktok.com/@ring_jedi/video/7347780313994546474,https://www.tiktok.com/@haruun_apdi/video/7348869373634891013,https://www.tiktok.com/@manualidades_diy_fei/video/7339192868763864363,https://www.tiktok.com/@ring_jedi/video/7345035199710825774,https://www.tiktok.com/@off.axl/video/7328196752392162565,https://www.tiktok.com/@devid4936/video/7327597851318439186,https://www.tiktok.com/@youstylewb/video/7342566751684644097,https://www.tiktok.com/@wiwigato/video/7329216981129825566
https://www.tiktok.com/@yourfavoriteguy/video/7337028694449458474,Society,2024-04-18 03:00:03.617777,https://www.tiktok.com/@littleyeg/video/7335960028869856558,https://www.tiktok.com/@jayrscottyy/video/7330409499196493099,https://www.tiktok.com/@johnstone.gregory/video/7326666197934689566,https://www.tiktok.com/@jayrscottyy/video/7341859136574868779,https://www.tiktok.com/@dailymail/video/7345054653278801198,https://www.tiktok.com/@nbcnews/video/7335093729637698862,https://www.tiktok.com/@yourfavoriteguy/video/7337814895133592875,https://www.tiktok.com/@yourfellowarab/video/7326601613131386142
https://www.tiktok.com/@chhloekim/video/7353865845061258513,control,2024-04-18 04:00:00,https://www.tiktok.com/@chhloekim/video/7331459504623734017,https://www.tiktok.com/@chhloekim/video/7354164606534782225,https://www.tiktok.com/@inumakimmi/video/7353662874910330155,https://www.tiktok.com/@chhloekim/video/7341089973778648321,https://www.tiktok.com/@cindywon/video/7345345328209464581,https://www.tiktok.com/@camfant/video/7353031065021238571,https://www.tiktok.com/@cherry_keem/video/7357374347872455942,https://www.tiktok.com/@monakoaa/video/7350306687552621842
https://www.tiktok.com/@thatfoodielyss/video/7323797404011089198,Society,2024-04-18 04:00:09.524058,https://www.tiktok.com/@ttbanned1980/video/7338956496094465323,https://www.tiktok.com/@briantylercohen/video/7341922212808625450,https://www.tiktok.com/@bidenhq/video/7339198467694431534,https://www.tiktok.com/@user1632253204117/video/7358665681614671105,https://www.tiktok.com/@novettebet/video/7351781038361939246,https://www.tiktok.com/@lostmymarblesagain/video/7341190849688128811,https://www.tiktok.com/@soleloco/video/7338103109094214954,https://www.tiktok.com/@60minutes/video/7350699521489259822
https://www.tiktok.com/@davidsonboswell/video/7351474612892470571,control,2024-04-18 05:00:00,https://www.tiktok.com/@mojojojokes/video/7343639147829120298,https://www.tiktok.com/@jennnyisveryfunny/video/7354034648143465770,https://www.tiktok.com/@gothic.regina.george/video/7350697883957595434,https://www.tiktok.com/@j.billiard3/video/7353954669523111169,https://www.tiktok.com/@lolaokola/video/7354021418717187370,https://www.tiktok.com/@rynnstar/video/7345895133101034783,https://www.tiktok.com/@serena_laury_mezher/video/7331704862926720274,https://www.tiktok.com/@reesematisse/video/7343805696200166698
https://www.tiktok.com/@meme._.galaxy/video/7334316740840574240,Society,2024-04-18 05:00:14.713129,https://www.tiktok.com/@msnbc/video/7328556576699206958,https://www.tiktok.com/@unknowuseriani/video/7336436695115533610,https://www.tiktok.com/@zachking/video/7338816875956030766,https://www.tiktok.com/@jvirtuix8/video/7342693353319976198,https://www.tiktok.com/@devid4936/video/7327597851318439186,https://www.tiktok.com/@tvoibberis/video/7326980024639261958,https://www.tiktok.com/@haruun_apdi/video/7348869373634891013,https://www.tiktok.com/@raby_edgar/video/7336678222538624262
https://www.tiktok.com/@shhhhimeating/video/7335151140415311146,control,2024-04-18 06:00:00,https://www.tiktok.com/@daniel.labelle/video/7354034145909099819,https://www.tiktok.com/@debbiekval/video/7342144141322718510,https://www.tiktok.com/@kittyfoodie/video/7328271705779080490,https://www.tiktok.com/@banginbuns/video/7337796801665256734,https://www.tiktok.com/@loganmicke/video/7351571891162713386,https://www.tiktok.com/@byastroomar/video/7353691623844236550,https://www.tiktok.com/@recipesbyrachie/video/7325921000346995975,https://www.tiktok.com/@loganmicke/video/7352312526220053802
https://www.tiktok.com/@chhloekim/video/7353865845061258513,Society,2024-04-18 06:00:10.878293,https://www.tiktok.com/@leesiyoung38/video/7355815847736200455,https://www.tiktok.com/@chhloekim/video/7331459504623734017,https://www.tiktok.com/@chhloekim/video/7354164606534782225,https://www.tiktok.com/@chhloekim/video/7341089973778648321,https://www.tiktok.com/@jaxon.maxwell/video/7329153067427826987,https://www.tiktok.com/@harry.daniels/video/7354471424477777195,https://www.tiktok.com/@anesag_/video/7358775577639243014,https://www.tiktok.com/@thedailyshow/video/7335565235023056170
